,date,team_1,team_2,_map,result_1,result_2,map_winner,starting_ct,ct_1,t_2,t_1,ct_2,event_id,match_id,rank_1,rank_2,map_wins_1,map_wins_2,match_winner,elo_diff,winrate_10_diff,winrate_30_diff,experience_diff,rank_diff,h2h_winrate,team_1_wins
124,2020-03-13,Oceanus,Swole Patrol,Nuke,10,16,2,2,3,8,7,8,5151,2340386,121,81,10,16,2,-73.5232522116421,-1.0,-1.0,1,40,0.5,0
125,2020-03-12,Station7,Big Frames,Overpass,3,16,2,2,2,2,1,14,5151,2340033,133,92,3,16,2,104.52238266825339,0.8,0.8,1,41,0.5,0
126,2020-03-12,Bad News Bears,New England Whalers,Inferno,13,16,2,1,8,7,5,9,5151,2340032,33,178,13,16,2,105.66393214029563,0.5416666666666667,0.5416666666666667,2,-145,0.5,0
127,2020-03-12,District 7,Chaos,Mirage,13,16,2,2,3,11,10,5,5151,2340034,93,43,13,16,2,-129.01489703921538,-0.5666666666666667,-0.5666666666666667,-4,50,0.5,0
128,2020-03-12,Triumph,Under 21,Inferno,11,16,2,2,3,9,8,7,5151,2340035,50,80,11,16,2,12.14583307126145,0.15000000000000002,0.15000000000000002,-1,-30,0.5,0
129,2020-03-12,Soberano,Bravos,Nuke,16,9,1,1,11,4,5,5,5182,2339239,244,193,2,0,1,0.0,0.0,0.0,0,51,0.5,1
130,2020-03-12,Soberano,Bravos,Dust2,22,20,1,1,7,8,8,7,5182,2339239,244,193,2,0,1,32.0,1.0,1.0,0,51,1.0,1
131,2020-03-12,Mythic,Recon 5,Vertigo,14,16,2,2,3,12,11,4,5151,2340273,58,74,14,16,2,-3.8225219169767115,0.06666666666666671,0.06666666666666671,2,-16,0.5,0
132,2020-03-12,Oceanus,TeamOne,Dust2,9,16,2,2,4,6,5,10,5151,2340248,121,126,9,16,2,-68.59039192731188,-0.6,-0.6,-6,-5,0.5,0
133,2020-03-12,Chaos,Infinity,Dust2,16,8,1,2,4,5,12,3,5151,2340029,43,137,16,8,1,100.3285177896878,-0.09999999999999998,-0.09090909090909094,10,-94,0.5,1
134,2020-03-12,Chaos,Swole Identity,Dust2,14,16,2,1,8,7,6,9,5151,2340271,43,79,14,16,2,155.707760915373,0.65,0.6666666666666666,8,-36,0.5,0
135,2020-03-12,Rugratz,Divine,Mirage,16,14,1,2,8,7,8,7,5151,2340272,85,109,16,14,1,52.034003818801466,0.3333333333333333,0.3333333333333333,3,-24,0.5,1
136,2020-03-12,Bad News Bears,TeamOne,Nuke,12,16,2,1,10,5,2,11,5151,2340031,33,126,12,16,2,33.45696118778528,0.1777777777777778,0.14141414141414144,-2,-93,0.5,0
137,2020-03-12,In The Lab,Infinity,Mirage,13,16,2,2,9,5,4,11,5151,2340269,124,137,13,16,2,-63.95242115985002,-0.5,-0.5,2,-13,0.5,0
138,2020-03-12,Triumph,Swole Patrol,Vertigo,5,16,2,2,1,5,4,11,5151,2340270,50,81,5,16,2,-27.57495983982153,-0.4,-0.4,2,-31,0.5,0
139,2020-03-12,Swole Identity,Divine,Overpass,12,16,2,1,6,9,6,7,5151,2340030,79,109,12,16,2,24.14763717646815,0.15000000000000002,0.15000000000000002,1,-30,0.5,0
140,2020-03-12,Under 21,Recon 5,Nuke,16,8,1,1,9,6,7,2,5151,2340037,80,74,16,8,1,34.274827755268916,0.16666666666666663,0.16666666666666663,2,6,0.5,1
141,2020-03-12,Swole Patrol,In The Lab,Overpass,16,3,1,1,12,3,4,0,5151,2340268,81,124,16,3,1,131.52199093021272,1.0,1.0,-1,-43,0.5,1
142,2020-03-12,Rugratz,Oceanus,Mirage,16,4,1,1,11,4,5,0,5151,2340247,85,121,16,4,1,117.46772940543883,0.7142857142857143,0.7142857142857143,2,-36,0.5,1
143,2020-03-12,Divine,TeamOne,Dust2,14,16,2,1,8,7,6,9,5151,2340274,109,126,14,16,2,-56.58882702275355,-0.19999999999999996,-0.2666666666666666,-7,-17,0.5,0
144,2020-03-12,In The Lab,Big Frames,Mirage,16,10,1,2,7,4,9,6,5151,2340275,124,92,16,10,1,-45.17126281315018,-0.2,-0.2,1,32,0.5,1
145,2020-03-12,District 7,Thunder Logic,Mirage,16,14,1,1,6,9,10,5,5151,2340276,93,160,16,14,1,-10.653017671444559,-0.0892857142857143,-0.0892857142857143,-1,-67,0.5,1
146,2020-03-12,Rooster,Paradox,Mirage,16,9,1,2,8,2,8,7,5228,2340203,94,112,2,1,1,112.65203246766987,1.0,1.0,-4,-18,0.5,1
147,2020-03-12,Illuminar,Spirit,Train,10,16,2,1,3,12,7,4,5150,2340294,49,27,10,16,2,-58.532070516899466,-1.0,-1.0,-4,22,0.5,0
148,2020-03-12,New England Whalers,Station7,Inferno,16,11,1,2,7,5,9,6,5151,2340036,178,133,16,11,1,-29.484055986698195,-0.23809523809523808,-0.23809523809523808,1,45,0.0,1
